Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-69760,MAHESHWAR PRASAD SHAHI COLLEGE SITAMARHI,Bihar,Sitamarhi,http://www.mpscollege.ac.in/,-,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-69852,DASHRATH PRASAD SINGH INSTITUTE OF HEALTH EDUCATION,Bihar,Muzaffarpur,https://www.dpsihe.in/,-,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-69856,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,Bihar,Patna,https://hcpedu.in,-,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-69858,KUSUMRAJ EDUCATIONAL INSTITUITION,Bihar,Patna,www.kusumrajeducation.com,-,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-69859,PATLIPUTRA COLLEGE OF PROFESSIONAL EDUCATION,Bihar,Patna,https://pcpedu.com/,-,Urban,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-69860,CHAMPARAN COLLEGE OF PROFESSIONAL EDUCATION,Bihar,Purbi Champaran,https://www.ccpeus.com/,-,Rural,Affiliated College,Private Un-Aided,"Aryabhatta Knoweledge University , Patna",State Public University
C-69861,MUZAFFARPUR HOMOEOPATHIC MEDICAL COLLEGE AND HOSPITAL,Bihar,Muzaffarpur,www.muzaffarpurmhmch.com,-,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-69862,G D MEMORIAL HOMOEOPATHIC MEDICAL COLLEGE AND HOSPITAL ,Bihar,Patna,-,-,Urban,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-74328,BRAHMDEO SINGH SUMITRA MAHAVIDYALAY BALI WARISALIGANJ NAWADA ,Bihar,Nawada,-,2010,Rural,Affiliated College,Private Un-Aided,"Magadh University, Bodh Gaya",State Public University
C-69863,"BABA BHAGWAT RAI DEGREE MAHAVIDYALAY, TELHUA, NAUTAN, WEST CHAMPARAN",Bihar,Pashchim Champaran,bbrdm.ac.in,-,Rural,Affiliated College,Private Un-Aided,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-65174,GAUTAM INSTITUTE OF NURSING,Bihar,Nalanda,http://www.gautamnursing.com,2015,-,Affiliated College,-,Bihar University of Health Sciences,State Public University
C-52702,J.P. Shikshak prashikshan Mahavidyalya,Bihar,Samastipur,www.jpttcollege.in,2012,Urban,Affiliated College,Private Aided (Government Aided),"Lalit Narayan Mithila University, Darbhanga",State Public University
C-6476,"Jaglal Chaudhary College, Chapra",Bihar,Saran,jlccollege.in,1970,Urban,Constituent / University College,State Government,"Jai Prakash Vishwavidyalaya, Chapra",State Public University
C-60102,VIVEKANAND VIPF INSTITUTE OF EDUCATION,Bihar,Aurangabad,http://www.vivekanandteachereducation.in,2016,Rural,Affiliated College,Private Un-Aided,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-60103,S. T. College of Education,Bihar,Patna,www.stcebedcollege.com,2016,Rural,Affiliated College,Private Un-Aided,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-60104,"MAHAMAYA COLLEGE OF EDUCATION VILL-DEVKALI, PO-SARSAULI,PS-OBRA",Bihar,Aurangabad,www.mahamayacollege.com,2016,Rural,Affiliated College,Private Aided (Government Aided),"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University
C-29420,"Govt. College of Yoga Education & Health, Sector-23",Chandigarh,Chandigarh,gcyeh.edu.in,2007,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29404,"Govt College of Commerce & Business Administration, Sector-50",Chandigarh,Chandigarh,www.gccbachd.org,2006,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29359,"Chandigarh College of  Engineering & Technology (Degree Wing), Sector-26",Chandigarh,Chandigarh,www.ccet.ac.in,2002,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29440,"G.G.D.S.D.College, Sector-32",Chandigarh,Chandigarh,www.ggdsd.ac.in,1973,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29278,"Regional Institute of English, Sector-32",Chandigarh,Chandigarh,www.rieni.org,1963,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29314,"Post Graduate Government College, Sector-46",Chandigarh,Chandigarh,pggc46.ac.in,1982,Urban,Affiliated College,Central Government,"Panjab University,Chandigarh",State Public University
C-29433,"Sri Guru Gobind Singh College, Sector-26",Chandigarh,Chandigarh,www.sggscollege.ac.in,1966,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29329,Shri Dhanwantry Ayurvedic  College & Hospital Sector-46 B,Chandigarh,Chandigarh,www.sdach.ac.in,1979,Urban,Affiliated College,Private Un-Aided,GURU RAVIDAS AYURVED UNIVERSITY,State Public University
C-29348,"Dev Samaj College for Women, Sector-45 B",Chandigarh,Chandigarh,www.dscw45.com,1981,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29418,"Govt. College of Education, Sector-20",Chandigarh,Chandigarh,www.gcechd.ac.in,1954,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29391,"Govt Post Graduate College for Girls,Sector-42",Chandigarh,Chandigarh,www.gcg42.ac.in,1982,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29341,Chandigarh College of Architecture Sector-12,Chandigarh,Chandigarh,www.cca.edu.in,1961,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29344,"Guru Gobind Singh  College for Women , Sector-26",Chandigarh,Chandigarh,www.ggscw.ac.in,1973,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29426,"D.A.V.College, Sector 10",Chandigarh,Chandigarh,www.davchd.ac.in,1958,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29410,"Post Graduate Government College, Sector-11",Chandigarh,Chandigarh,gc11.ac.in,1953,Urban,Affiliated College,Central Government,"Panjab University,Chandigarh",State Public University
C-29377,"M.C.M.D.A.V.College For Women, Sector 36 A",Chandigarh,Chandigarh,www.mcmdavcwchd.edu.in,1968,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29442,"Govt Medical College & Hospital, Sector-32",Chandigarh,Chandigarh,gmch.gov.in,1991,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29365,"Brahmrishi Yoga Training College, Sector-19",Chandigarh,Chandigarh,www.yogacollege.in,1991,Urban,Affiliated College,Private Un-Aided,"Panjab University,Chandigarh",State Public University
C-29312,"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH",Chandigarh,Chandigarh,http://www.gcg11.ac.in,1956,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29378,"Homoeopathic Medical College & Hospital, Sector-26",Chandigarh,Chandigarh,www.hmcchd26.com,1974,Urban,Affiliated College,Private Un-Aided,"Panjab University,Chandigarh",State Public University
C-29411,Govt College of Art Sector-10,Chandigarh,Chandigarh,gcart.edu.in,1951,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29284,"Govt Home Science College,Sector-10",Chandigarh,Chandigarh,homescience10.ac.in,1961,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-29446,"Dev Samaj College of Education, Sector 36-B, Chandigarh",Chandigarh,Chandigarh,www.devsamaj.org,1981,Urban,Affiliated College,Private Aided (Government Aided),"Panjab University,Chandigarh",State Public University
C-29322,"Regional institute of Mentally Handicapped, Sector-31",Chandigarh,Chandigarh,www.griid.edu.in,1964,Urban,Affiliated College,State Government,"Panjab University,Chandigarh",State Public University
C-62579,COLLEGE OF AGRICULTURE AND RESEARCH STATION,Chhattisgarh,Gariyaband,-,2018,Rural,Affiliated College,State Government,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-62580,"college of Agriculture and Research Station, Korba",Chhattisgarh,Korba,igau.edu.in,2018,Urban,Affiliated College,State Government,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-62584,College of Agriculture And Research Station Saja,Chhattisgarh,Bemetara,www.igkv.ac.in,2019,Rural,Affiliated College,State Government,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-65617,COLLEGE OF AGRICULTURE LORMI,Chhattisgarh,Mungeli,brsmcaet.org,-,Rural,Constituent / University College,University,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-73647,SHRI RAWATPURA SARKAR INSTITUTE OF MEDICAL SCIENCES AND RESEARCH    ,Chhattisgarh,Raipur,https://srimsr.com,2024,Rural,Affiliated College,Private Un-Aided,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh,State Public University
C-16641,Government Engineering College Raipur,Chhattisgarh,Raipur,www.gecraipur.ac.in,2006,Rural,Affiliated College,State Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-9763,"Ayush College of Education, Marvahi, Village Lohari",Chhattisgarh,Gaurela-Pendra-Marwahi,ayush.edu12@gmail.com,2011,Rural,Affiliated College,Private Un-Aided,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-21762,"Govt. L.C.S. Mahavidyalaya, Ambagarh Chowki, Rajnandgaon",Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,http://lcscollege.in,1970,Urban,Affiliated College,State Government,HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-21816,"Late Shri Devi Prasad Ji Choubey Government College, Gandai Distt-Rajnandgaon (C.G.)",Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,www.govtcollegegandai.in,1989,Rural,Affiliated College,State Government,HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-9734,"Sarguja Mahavidyalaya, Mayapur, Ambikapur",Chhattisgarh,Surguja,-,2009,Urban,Affiliated College,Private Un-Aided,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-9737,"Govt. College, Duldula",Chhattisgarh,Jashpur,https://www.govtcollegeduldula.ac.in/,2010,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-21772," Rajeev Gandhi Government College, Simga",Chhattisgarh,Balodabazar-Bhatapara,www.govtcollegesimga.ac.in,1989,Rural,Affiliated College,State Government,"Pt. Ravishankar Shukla University, Raipur",State Public University
C-66983,KRISHNA INSTITUTE OF SCIENCE COMMERCE,Chhattisgarh,Durg,www.kisc.kecbhilai.com,2019,Rural,Affiliated College,Private Aided (Government Aided),HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-61593,ANANT COLLEGE,Chhattisgarh,Raigarh,WWW.ANANTCOLLEGE.COM,2019,Urban,Affiliated College,Private Un-Aided,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-22327,"Pt. Jawaharlal Nehru College, Nawagarh",Chhattisgarh,Janjgir-Champa,JLNCOLLEGE.in,2001,Rural,Affiliated College,Private Un-Aided,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-59569,ASHOKA COLLEGE UMMEDPUR SARANGARH,Chhattisgarh,Sarangarh-Bilaigarh,http://ashokacollegesarangarh.com,2017,Rural,Affiliated College,Private Un-Aided,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-16642,"Institute of Technology Government Polytechnic Campus, Korba.",Chhattisgarh,Korba,www.itkorba.com,2008,Rural,Affiliated College,Private Aided (Government Aided),"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-16643,Columbia Institute of Pharmacy Raipur,Chhattisgarh,Raipur,www.columbiaiop.ac.in,2006,Rural,Affiliated College,Private Un-Aided,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-49173,"SHRI RAM AADARSH MAHILA COLLEGE, SARANGARH",Chhattisgarh,Sarangarh-Bilaigarh,sramcollege.in,2011,Urban,Affiliated College,State Government,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-65618,COLLEGE OF AGRICULTURE AND RESEARCH STATION KURUD,Chhattisgarh,Dhamtari,-,-,Urban,Constituent / University College,University,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-9694,"Dr. R.N.S. Shiksha Mahavidyalaya, Manendragarh",Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),www.rnse.co.in,2009,Urban,Affiliated College,Private Un-Aided,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-22332,"Dr. B.S. Porte Arts, Science and Commerce College, Marwahi",Chhattisgarh,Gaurela-Pendra-Marwahi,sites.google.com/view/dr-b-s-porte-college-marwahi,1999,Rural,Affiliated College,Private Un-Aided,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-9740,"K.R.Technical College, Ambikapur",Chhattisgarh,Surguja,www.krtc.co.in,2008,Urban,Affiliated College,Private Un-Aided,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-9741,"Govt. Navin College, Janakpur",Chhattisgarh,Korea,gndc.jnk2008@gmail.com,2008,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-65620,NAVEEN GOVT GIRLS COLLEGE TAKHATPUR DIST BILASPUR CG,Chhattisgarh,Bilaspur,www.vrdggctakhatpur.com,2021,Urban,Affiliated College,State Government,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-73772,SONKAR COLLEGE OF PHARMACY    ,Chhattisgarh,Mungeli,sonkarcollegeofpharmacy.in,2024,Rural,Affiliated College,Private Un-Aided,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-22383,Govt. Girls Training College Pendra,Chhattisgarh,Gaurela-Pendra-Marwahi,www.bilaspuruniversity.ac.in,1980,Urban,Affiliated College,State Government,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-22377,"Govt.Pt. Madhavrao Sapre College, Pendraroad (Gaurela) Dist - Bilaspur",Chhattisgarh,Gaurela-Pendra-Marwahi,www.pmrscollege.in,1989,Urban,Affiliated College,State Government,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-65621,"SW Pukeshwar Singh Bhardiya Govt College Nikum, Dist Durg",Chhattisgarh,Durg,spsbgcnikum.ac.in,2021,Rural,Affiliated College,State Government,HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-21690,Maharaja Agrasen International College Samata Colony Raipur,Chhattisgarh,Raipur,www.maicindia.org,2006,Urban,Affiliated College,Private Aided (Government Aided),"Pt. Ravishankar Shukla University, Raipur",State Public University
C-9745,"Govt.Shyama Prasad Mukharjee College, Sitapur",Chhattisgarh,Surguja,http://www.govtspmcsitapur.in,1984,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-16647,"Siddhi Vinayak Institute of Technology & Science  (College of Pharmacy) Near Balram Talkies, Nehru Nagar",Chhattisgarh,Bilaspur,www.svits.edu.in,2004,Rural,Affiliated College,Private Un-Aided,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-21759,"Badri Prasad Lodhi Post Graduate Government College, Arang",Chhattisgarh,Raipur,http://govpgcollarang.cgstate.gov.in/,1965,Rural,Affiliated College,State Government,"Pt. Ravishankar Shukla University, Raipur",State Public University
C-9748,"Saraswati Girls College, Manendragarh",Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),-,2004,Urban,Affiliated College,Private Un-Aided,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-16650,"Lakhmi Chand Institute of Technology Vidyasthali, Bilaspur.",Chhattisgarh,Bilaspur,www.lcit.edu.in,2008,Urban,Affiliated College,Private Un-Aided,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-22400,"Indira Gandhi Arts /Science College, Rahod",Chhattisgarh,Janjgir-Champa,www.igascrahod.com,1987,Rural,Affiliated College,Private Un-Aided,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-49222,"LAXMAN PRASAD BAIDH GOVT. GIRLS COLLEGE, BEMETARA ",Chhattisgarh,Bemetara,www.lpbggcbemetara.in,2012,Urban,Affiliated College,State Government,HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-59630,CG SCHOOL OF NURSING,Chhattisgarh,Bilaspur,www.cgnursing.com,2011,Rural,Affiliated College,Private Aided (Government Aided),Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh,State Public University
C-9759,"Non Govt. Margdarshan Sanshthan, Baikunthpur",Chhattisgarh,Korea,margdarshansansthan.org,2006,Urban,Affiliated College,Private Un-Aided,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-57533,"SHYAM BALAJI COLLEGE, MAHASAMUND",Chhattisgarh,Mahasamund,www.sbcm.edu.in,2013,Urban,Affiliated College,Private Un-Aided,"Pt. Ravishankar Shukla University, Raipur",State Public University
C-9758,"LIKHAN SAI GOVT. COLLEGE, TAPKARA , DIST - JASHPUR",Chhattisgarh,Jashpur,www.govtcollegetapkara.in,2009,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-64084,JAGRANI DEVI COLLEGE DABHRA,Chhattisgarh,Janjgir-Champa,jagranidevicollegedabhra.com,2020,Urban,Affiliated College,University,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-16652,Shri Shankaracharya Institute of Professional Management & Technology Mujgahan,Chhattisgarh,Raipur,www.ssipmt.com,2008,Rural,Affiliated College,Private Un-Aided,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-49220,Govt. Naveen  College  Beloudi,Chhattisgarh,Balod,www.gcbeloudi.in,2013,Urban,Affiliated College,State Government,HEMCHAND YADAV VISHWAVIDYALAYA,State Public University
C-49974,"NAYAK NITYANAND SAI GOVERNMENT COLLEGE, AARA",Chhattisgarh,Jashpur,https://govtcollegeaara.in/,2012,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-22387,Govenment  Niranjan Kesharwani College Kota,Chhattisgarh,Bilaspur,www.gnkckota.ac.in,1984,Rural,Affiliated College,State Government,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-60146,Government Naveen College Bagbahar,Chhattisgarh,Jashpur,ngckansabel.in,2018,Rural,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
C-52095,"FANIKESHWAR NATH GOVT. COLLEGE FINGESHWAR, GARIYABAND",Chhattisgarh,Gariyaband,fngovtcollege.in,2013,Urban,Affiliated College,State Government,"Pt. Ravishankar Shukla University, Raipur",State Public University
C-49749,GOVT. COLLEGE SARONA (SALHEBHATA),Chhattisgarh,Uttar Bastar Kanker,http://gcsarona.in/,2013,Rural,Affiliated College,State Government,"Shaheed Mahendra Karma Vishwavidyalaya, Jagdalpur",State Public University
C-53469,Shivam College of Nursing,Chhattisgarh,Gariyaband,-,2014,Rural,Affiliated College,Private Un-Aided,Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh,State Public University
C-56228,SANDIPANI ACADEMY MASTURI,Chhattisgarh,Bilaspur,www.sandipanieducation.in,2016,Rural,Affiliated College,Private Un-Aided,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,State Public University
C-49231,"DR. BHIMRAO AMBEDKAR GOVERNMENT COLLEGE, BALODA",Chhattisgarh,Mahasamund,www.govtcollegebaloda.ac.in,2012,Rural,Affiliated College,State Government,"Pt. Ravishankar Shukla University, Raipur",State Public University
C-33004,"SANDIPANI ACADEMY, VILL-ACHHOTI, POST-MURMUNDA, VIA - DHAMDHA, DIST - DURG (C.G.) PIN- 490036",Chhattisgarh,Durg,www.sandipanigroup.org,2010,Rural,Affiliated College,Private Aided (Government Aided),Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh,State Public University
C-63972,COLLEGE OF AGRICULTURE AND RESEARCH STATION MARRA PATAN DURG CHHATTISGARH,Chhattisgarh,Durg,-,-,Rural,Constituent / University College,University,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University
C-16653,"Governement Polytechnic College Korea, Baikunthpur Korea",Chhattisgarh,Korea,www.polykorea.org.in,2010,Rural,Affiliated College,State Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University
C-9731,"Govt. Vivekanand P.G. College, Manendragarh",Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),www.vnpgc.ac.in,1973,Urban,Affiliated College,State Government,"Sant Gahira Guru Vishwavidyalaya, Sarguja, Ambikapur, Chattisgarh",State Public University
