Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-32701,"Jagarlamudi Kuppuswamy Choudary College, Guntur",Andhra Pradesh,Guntur,www.jkcc.ac.in,1968,Urban,Affiliated College,Private Aided (Government Aided),"Acharya Nagarjuna University, Guntur",State Public University
C-39487,"Hindu College of Management, Guntur",Andhra Pradesh,Guntur,www.hcmgt.co.in,2010,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-72294,SRI SAI SADDARTHA DEGREE COLLEGE ,Andhra Pradesh,Ananthapuramu,gowthamdegcollege.in,1998,Urban,Affiliated College,Private Un-Aided,"Sri Krishnadevaraya University, Anantapur",State Public University
C-55466,"Sri Vivekanada College of Education, Taluk",Andhra Pradesh,Vizianagaram,-,2017,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-24324,"Sri Venkata Ramana Degree College, Vzm",Andhra Pradesh,Vizianagaram,www.svrcolleges.com,2005,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-39488,"Victoria College of Pharmacy, Nallapadu",Andhra Pradesh,Guntur,www.victoriapharmacy.org,2006,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-72342,NARAYANA COLLEGE OF BSC MLT ,Andhra Pradesh,Srikakulam,www.narayananursinginstitutionsklm.com,2023,Urban,Affiliated College,University,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-18079,"Vikas Group of Institutions, Nunna, Vijayawada (Rural)",Andhra Pradesh,NTR,https://vikasgroup.ac.in/,2010,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Kakinada",State Public University
C-72482,SREE SRINIVASA COLLEGE OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,kasturigroupofinstitutionsanantapuramu.com,2023,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-69633,"SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY, ANANTAPURAMU",Andhra Pradesh,Ananthapuramu,www.svesinstitutions.com,-,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-24095,All Saints P.G. College,Andhra Pradesh,Visakhapatnam,www.allsaintspgcollege.edu.in ,-,Rural,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-55465,GAYATRI DEGREE COLLEGE ANANDAPURAM,Andhra Pradesh,Visakhapatnam,gayatridegreecollegeanandapuram.co.in,2014,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-72480,BSR COLLEGE OF EDUCATION  PAMUR PRAKASAM DISTRICT,Andhra Pradesh,Prakasam,www.alphapamur.in,2016,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-72334,"JAGATHGURU COLLEGE OF EDUCATION, SANIKAVARAM, PRAKASAM DISTRICT",Andhra Pradesh,Prakasam,www.jagathgurutec.com,2016,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-22049,"College of Dairy Technology, Tirupati",Andhra Pradesh,Chittoor,cdttpt.svvu@gmail.com,2009,Urban,Constituent / University College,University,"Sri Venkateswara Veterinary University, Tirupathi",State Public University
C-42662,"Sai Pradeep College of Education, Bestavaripeta, Prakasam District",Andhra Pradesh,Prakasam,www.kavyaedu.in,2016,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-62652,NEW MODERN DEGREE COLLEGE,Andhra Pradesh,West Godavari,www.modern.com,2011,Urban,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-69632,SRIKARA COLLEGE OF NURSING,Andhra Pradesh,NTR,srikaracollegeofnursing.com,-,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-32788,"SIMS College of Pharmacy, Guntur",Andhra Pradesh,Guntur,www.simscollege.ac.in,2006,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-22050,"NTR College of Veterinary Science, Gannavaram",Andhra Pradesh,Krishna,www.svvu.edu.in,1998,Rural,Constituent / University College,University,"Sri Venkateswara Veterinary University, Tirupathi",State Public University
C-24358,Sri Gayatri Degree College,Andhra Pradesh,Vizianagaram,https://srigayathridegreecollege.com,2001,Urban,Affiliated College,Private Aided (Government Aided),"Andhra University, Visakhapatnam",State Public University
C-22051,"College of Veterinary Science, Tirupati",Andhra Pradesh,Chittoor,www.svvu.edu.in ,1956,Urban,Constituent / University College,State Government,"Sri Venkateswara Veterinary University, Tirupathi",State Public University
C-22052,"College of Veterinary Science, Proddutur",Andhra Pradesh,Y.S.R.,https://svvu.edu.in/colleges/cvs-proddatur/,2008,Rural,Constituent / University College,State Government,"Sri Venkateswara Veterinary University, Tirupathi",State Public University
C-72372,VSM COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh,Y.S.R.,vsmcolleges.org,2023,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-63503,SRI RAVI TEJA DEGREE COLLEGE,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,www.sriravitejacolleges.in,2013,-,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-69631,SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh,Prakasam,http://www.svgroupofinstitutions.com/,-,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72478,"SRI KALYANI COLLEGE OF EDUCATION, CHINNARANGAPURAM, PULIVENDULA",Andhra Pradesh,Y.S.R.,www.srikalyani.org.in,2016,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-72477,"RAJU COLLEGE OF EDUCATION, RAYACHOTY",Andhra Pradesh,Annamayya,www.rajucollege.org.in,2016,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-24375,K.G.R.L. College Of Pharmacy,Andhra Pradesh,West Godavari,www.kgrlpharmacy.com,2007,Urban,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-72409,"LAKSHMI SAVITRAMMA COLLEGE OF NURSING, KL PURAM, VIZIANAGARAM DISTRICT",Andhra Pradesh,Vizianagaram,www.lsnvzminstitutions.in,2023,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-54054,VIKAS INSTITUTE OF PHARMACEUTICAL SCIENCES,Andhra Pradesh,East Godavari,vips.global,2008,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-72378,PALIVELA PG COLLEGE,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,WWW.PALIVELACOLLEGE.EDU.IN,2007,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-72412,KMR INSTITUTE OF MEDICAL SCIENCES NANDIGAMA,Andhra Pradesh,NTR,-,2023,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72414,"SRI BALAJI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INSTITUTE",Andhra Pradesh,Tirupati,www.sbmch.org,2022,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72416,RAJA RATNA COLLEGE OF NURSING,Andhra Pradesh,East Godavari,www.rrcn.in,2022,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-24085,MSR National Degree College,Andhra Pradesh,Visakhapatnam,nationaldegreecollege.in,2008,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-72417,JMJ COLLEGE OF NURSING,Andhra Pradesh,Kurnool,www.kurnooljmjcollegeofnursing.com,2022,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72420,DHARVI COLLEGE OF NURSING,Andhra Pradesh,Prakasam,www.indiraenggcollege.com,2022,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72423,GDMM COLLEGE OF NURSING,Andhra Pradesh,NTR,www.gdmmnursing.com,2019,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-32826,Sri Mahaveer Memorial Jain Degree College,Andhra Pradesh,Guntur,www.smmjdc.in,1996,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-50890,"Horticultural Polytechnic, Nuzvid",Andhra Pradesh,Eluru,https://drysrhu.ap.gov.in/,2013,Urban,Constituent / University College,State Government,Dr Y S R Horticulture University,State Public University
C-32817,"D.S.Govt. Degree College for Women, Ongole",Andhra Pradesh,Prakasam,www.dsgdcw.ac.in,1984,Urban,Affiliated College,State Government,"Acharya Nagarjuna University, Guntur",State Public University
C-17948,"DADI Institute of Engineering & Technology, Nh-5, Gavarapalem, Anakapalle-531002, (CC-U4)",Andhra Pradesh,Visakhapatnam,www.diet.edu.in,2006,Rural,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-18006,"BABA Institute of Technology & Science, P.M. Palem, Bakkannapalem Village,  Madhurawada, PIN-530048 (CC-NR)",Andhra Pradesh,Visakhapatnam,www.bitsvizag.com,2008,Urban,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-18011,"GOKUL College of pharmacy, Piridi, Bobbili,  Pin- 535558 (CC-HH)",Andhra Pradesh,Vizianagaram,www.gokulcollege.com,2007,Rural,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-42708,"C.L.R.Degree College, Cumbum, Prakasam District",Andhra Pradesh,Prakasam,srisadhanaedu.org,2015,Rural,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-18021,"Chaitanya Engineering College, Chaitanya Valley, Kommadi, Madhurawada,Pin-530041(CC-L6)",Andhra Pradesh,Visakhapatnam,www.cec.ac.in,2002,Urban,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-18120,"Simhadri Educational Society Group of Institutions, Narapadu (V), Sabbavaram Mandal, Sabbavaram To Ankapalli Road, PIN- 531002 (CC-6J)",Andhra Pradesh,Visakhapatnam,www.simhadhriedu.org,2009,Rural,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-72403,SRI SAI RAJESWARI NURSING COLLEGE,Andhra Pradesh,Y.S.R.,https://ssrnc.edu.in/,2023,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72456,SVR COLLEGE OF NURSING,Andhra Pradesh,Kurnool,-,2021,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-51716,SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Andhra Pradesh,Vizianagaram,www.sitam.co.in,2011,Urban,Affiliated College,Private Un-Aided,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAM,State Public University
C-72437,KALANJALI INSTITUTE OF MEDICAL SCIENCES NURSING COLLEGE ,Andhra Pradesh,Kurnool,www.kalanjalicon.in,2022,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72450,SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh,Chittoor,-,2023,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-72449,SRI VENKATESWARA INSTITUTE OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh,Chittoor,-,2023,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-24791,"Velankini College of Education, Kandrika, Venkatachalam (M)Nellore Dist",Andhra Pradesh,Sri Potti Sriramulu Nellore,www.velankannibedcollege.com,2004,Rural,Affiliated College,Private Un-Aided,"Vikram Simhapuri University, Nellore",State Public University
C-72444,"AMARAVATHI BSC COLLEGE OF NURSING, ANANTHARAJUPET",Andhra Pradesh,Annamayya,www.amaravathicollegeofnursing.com,2022,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-69629,AJK POLYTECHNIC OF SEED TECHNOLOGY,Andhra Pradesh,Krishna,https://ajvidyaparishad.org,-,Urban,Affiliated College,Private Un-Aided,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-69628,"GOVERNMENT DEGREE COLLEGE, DORNALA",Andhra Pradesh,Prakasam,WWW.GDCDORNALA.COM,-,Urban,Affiliated College,State Government,"Acharya Nagarjuna University, Guntur",State Public University
C-60177,MOTHER THERESA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,Andhra Pradesh,Kurnool,www.miperknlapindia.ac.in,2018,Urban,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-30213,Rani Tirumala Devi Degree College,Andhra Pradesh,Y.S.R.,www.rtdcollege.com,1994,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30214,Sri Hari Degree College,Andhra Pradesh,Y.S.R.,WWW.SRIHARIDEGREECOLLEGE.COM,2015,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30215,Nirmala College of Education,Andhra Pradesh,Y.S.R.,nirmalacollegeofeducation.in,2009,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30216,"Annamacharya College of Education, Rajampeta",Andhra Pradesh,Y.S.R.,http://anceap.edu.in,2003,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30218,Rayalaseema College of Physical Education,Andhra Pradesh,Y.S.R.,www.rcpepdtr.com,1984,Rural,Affiliated College,Private Aided (Government Aided),"Yogi Vemana University, Kadapa",State Public University
C-30219,Pushpagiri College of Education,Andhra Pradesh,Y.S.R.,www.pushpagirieducation.org,2007,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30221,Sai Parameswara Degree College,Andhra Pradesh,Y.S.R.,www.spdc.com,2005,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30226,SPIRITS Degree College,Andhra Pradesh,Y.S.R.,www.spiritsdc.in,2010,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30228,"Government Degree College, Jammalamadugu",Andhra Pradesh,Y.S.R.,www.gdcjammalamadugu.ac.in,1980,Urban,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-30229,Smt.Basava Rama Tarakam Memorial Law College,Andhra Pradesh,Y.S.R.,www.sbrtmlaw.education,1986,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30230,Shirdi Women's Degree College,Andhra Pradesh,Y.S.R.,www.ssswdc.com,2005,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30231,Sri Vedavyasa Degree college,Andhra Pradesh,Y.S.R.,http://sreevedavyasa.org/,1994,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30264,SLS Degree College,Andhra Pradesh,Y.S.R.,www.slsdc.com,1982,Rural,Affiliated College,Private Aided (Government Aided),"Yogi Vemana University, Kadapa",State Public University
C-30235,Veerabhadra Degree College,Andhra Pradesh,Y.S.R.,www.sriveerbhdradegreecollege.com,2010,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30237,Sri Vivekananda Degree College,Andhra Pradesh,Y.S.R.,www.svkdcw.ac.in,2008,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30241,"Sri Venkateswara College of Arts and Computer sciences, Proddatur",Andhra Pradesh,Y.S.R.,https://www.svdcpdtr.com/,2010,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30243,Sadana Degree College,Andhra Pradesh,Y.S.R.,www.yeswecan.co.in,2001,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30244,S.V.Degree College,Andhra Pradesh,Y.S.R.,www.svcolleges.edu.in,1981,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30245,Krishna Saradha Degree college,Andhra Pradesh,Y.S.R.,www.ksdcollege.in,1997,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30246,Chaitanya Degree College,Andhra Pradesh,Y.S.R.,-,2005,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30251,"Govt. Degree College, Porumamilla.",Andhra Pradesh,Y.S.R.,www.gdcporumamilla.ac.in,1981,Rural,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-30252,Sri Vasista Degree College,Andhra Pradesh,Y.S.R.,www.vasistadegreecollege.edu.in,2005,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30259,"Sri Vaishnavi Degree college, Rajampeta",Andhra Pradesh,Y.S.R.,www.srivaishnavicollege.ac.in,1998,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30261,Nagarjuna Degree College for Women,Andhra Pradesh,Y.S.R.,www.ndcwk.ac.in,1993,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30262,Archana Degree College,Andhra Pradesh,Annamayya,www.archanadegreecollege.com.in,2005,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30263,VPR College of Education,Andhra Pradesh,Y.S.R.,www.vprcoe.com,2003,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30265,SKR & SKR Govt.Degree College for Women,Andhra Pradesh,Y.S.R.,http://www.skrgdcwakdp.edu.in,1973,Urban,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-30266,Vidhya Sadhana Degree College,Andhra Pradesh,Y.S.R.,www.vsdc.com,2001,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30267,Bharath College of Education,Andhra Pradesh,Y.S.R.,www.bcekadapa.org,2002,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30269,Prasad College of Education,Andhra Pradesh,Y.S.R.,prasadcollegeofeducation.org,2008,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30271,Hellen Keller's College of Special Education,Andhra Pradesh,Y.S.R.,www.helenkellerkadapa.org,2006,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30272,Sri Venkateswara college of Arts and Computer Sciences,Andhra Pradesh,Y.S.R.,https://svdcpdtr.com/degree/index.html,2005,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30273,"Govt.Degree College, Yerraguntla",Andhra Pradesh,Y.S.R.,www.gdcyerraguntla.ac.in ,2008,Rural,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-30275,"SBVR College of Education, Badvel",Andhra Pradesh,Y.S.R.,www.sbvrcoe.in,1984,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30277,Shri P.Basireddy College of Law,Andhra Pradesh,Y.S.R.,www.pbasireddicollegeoflaw.com,1987,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30280,SKSC Degree College,Andhra Pradesh,Y.S.R.,skscdegreecollege.ac.in,1980,Rural,Affiliated College,Private Aided (Government Aided),"Yogi Vemana University, Kadapa",State Public University
C-30283,SCNR Govt.Degree College,Andhra Pradesh,Y.S.R.,www.scnrgdcproddatur.ac.in,1966,Urban,Affiliated College,State Government,"Yogi Vemana University, Kadapa",State Public University
C-30286,VRS Degree College,Andhra Pradesh,Y.S.R.,www.vrsdc.ac.in,1980,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30288,C.Gangi Reddy Degree College,Andhra Pradesh,Y.S.R.,cgrdc.co.in,2009,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-30289,SBSYM Degree College,Andhra Pradesh,Y.S.R.,http://crba.in/SBSYM,1981,Urban,Affiliated College,Private Aided (Government Aided),"Yogi Vemana University, Kadapa",State Public University
C-30382,"Shanthiram College of Nursing, Nandyal",Andhra Pradesh,Kurnool,www.santhiramnursingcollege.com,2008,Rural,Affiliated College,University,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
