Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-24461,"AKNU Campus, T.P.Gudem",Andhra Pradesh,West Godavari,www.aknu.edu.in,2004,Rural,PG Center / Off-Campus Center,University,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-71080,"GIDEONS COLLEGE OF EDUCATION, GIDDALURU",Andhra Pradesh,Prakasam,www.gideonsedugdlr.ac.in,-,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-30296,Masha College of Education,Andhra Pradesh,Y.S.R.,www.mashacoe.in,2003,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-71081,"KLR COLLEGE OF EDUCATION,GIDDALUR",Andhra Pradesh,Prakasam,www.klredugdlr.ac.in,-,Urban,Affiliated College,Private Un-Aided,"Acharya Nagarjuna University, Guntur",State Public University
C-26825,"ADITYA DEGREE COLLEGE, PALAKOL",Andhra Pradesh,West Godavari,http://www.aditya.ac.in,2005,Urban,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-30297,Sri Narayanadri College of Education,Andhra Pradesh,Y.S.R.,WWW.SRINARAYANADRI.ORG.IN,2011,Urban,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-55572,JOY KARTHIK DEGREE COLLEGE,Andhra Pradesh,Visakhapatnam,www.joykarthikdc.com,2007,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-26973,"Vaagdevi Institute of Technology & Science, Proddatur",Andhra Pradesh,Y.S.R.,www.vitspdtr.ac.in,2002,Rural,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-27639,"Sri Kalahasthiswara Institute of Infor. & Manag. Sciences, Sri Kalahasthi.",Andhra Pradesh,Chittoor,www.skiims.co.in,2007,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27638,"SRI.C.DASS Arts & Science Degree  College,    SATHYAVEDU Rural",Andhra Pradesh,Chittoor,babujc.stvd@gmail.com,1991,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-24908,H P N DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.hpndegreecolleges.com,2003,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-27637,"SDHR Degree College, Tirupati",Andhra Pradesh,Chittoor,www.sdhrdegreecollege.com,2006,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27636,"S.V.U. College of Arts, Tirupati",Andhra Pradesh,Chittoor,www.svuniversity.edu.in ,1954,Urban,Constituent / University College,University,"Sri Venkateswara University, Tirupathy",State Public University
C-27634,"Sri Vivekananda   Degree College, Madanapalle Urban",Andhra Pradesh,Chittoor,Svdcmpl.in,2006,Urban,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27631,"S.R.Govt.      Degree    College,      PUNGANUR Rural",Andhra Pradesh,Chittoor,www.srgdcpunganur.ac.in,1983,Rural,Affiliated College,State Government,"Sri Venkateswara University, Tirupathy",State Public University
C-27629,SRI VANI Degree College PALAMANER Rural,Andhra Pradesh,Chittoor,www.kedcs.com,2003,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-27628,"Vignan Degree College, Bangarupalem",Andhra Pradesh,Chittoor,www.vignanbgp2007.com,2007,Rural,Affiliated College,Private Un-Aided,"Sri Venkateswara University, Tirupathy",State Public University
C-24949,MAHENDRA DEGREE COLLEGE,Andhra Pradesh,Srikakulam,mahendra.info,1996,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24948,THAMMI NAIDU DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.thamminadu.com,2003,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24946,ADITYA DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.adityadegreecollege.com,2000,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24945,SRI VENKATA SAI DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.svsdgcollege.com,2005,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24942,SRI RADHAKRISHNA COLLEGE OF EDUCATION,Andhra Pradesh,Srikakulam,WWW.srdkcoe.org,2003,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24941,GOVERNMENT DEGREE COLLEGE FOR MEN,Andhra Pradesh,Srikakulam,www.gcmsklm.ac.in,1951,Urban,Affiliated College,State Government,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24940,B.S. & J.R. DEGREE COLLEGE,Andhra Pradesh,Srikakulam,WWW.BSJRDC.Com,1994,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24938,SRI RAMESWARI DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.srdccollegs.in,2005,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24937,RAVOOF &  VAZIR KHAN MEMORIAL COLLEGE OF EDUCATION,Andhra Pradesh,Srikakulam,www.rvkmce.com,2007,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24936,MOTHER THERESA DEGREE COLLEGE,Andhra Pradesh,Srikakulam,WWW.MOTHEERTHERESADEGREECOLLEGETEKKALI.COM,2005,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24935,VAMSADHARA DEGREE COLLEGE,Andhra Pradesh,Srikakulam,http://vamsadharadegreecollege.com,2002,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24934,SPOORTHY DEGREE COLLEGE,Andhra Pradesh,Srikakulam,WWW.SPOORTHYCOLLEGE/RAJAM.COM,2005,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
