Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Name,University Type
C-71881,PYDAH COLLEGE OF FISHERIES POLYTECHNIC,Andhra Pradesh,Kakinada,-,-,-,Affiliated College,Private Un-Aided,ANDHRA PRADESH FISHERIES UNIVERSITY,State Public University
C-71882,PYDAH GROUP FISHERIES POLYTECHNIC,Andhra Pradesh,Kakinada,-,-,-,Affiliated College,Private Un-Aided,ANDHRA PRADESH FISHERIES UNIVERSITY,State Public University
C-65277,SRI GAYATRI DEGREE COLLEGE DWARAPUDI VIZIANAGARAM,Andhra Pradesh,Vizianagaram,WWW.GAYATRIINSTITUTIONS.COM,2011,Rural,Affiliated College,Private Un-Aided,"Andhra University, Visakhapatnam",State Public University
C-71883,SRI HARI FISHERY POLYTECHNIC,Andhra Pradesh,Kurnool,-,-,-,Affiliated College,Private Un-Aided,ANDHRA PRADESH FISHERIES UNIVERSITY,State Public University
C-71885,"SRI MVKR FISHERIES POLYTECHNIC, BHAVADEVARAPALLI",Andhra Pradesh,Krishna,-,-,-,Constituent / University College,University,ANDHRA PRADESH FISHERIES UNIVERSITY,State Public University
C-71886,"COLLEGE OF FISHERY SCIENCE, NARASAPURAM",Andhra Pradesh,West Godavari,-,-,Rural,Constituent / University College,State Government,ANDHRA PRADESH FISHERIES UNIVERSITY,State Public University
C-54591,"Vignan Degree College, O.D. Cheruvu",Andhra Pradesh,Ananthapuramu,http://vignandegreecollegeodc.com/demo/,2012,Rural,Affiliated College,Private Un-Aided,"Sri Krishnadevaraya University, Anantapur",State Public University
C-65267,SAI COLLEGE OF PHYSIOTHERAPY AND REHABILITATION ,Andhra Pradesh,East Godavari,www.saiedugroup.com,2015,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-54617,Sahitya Degree College,Andhra Pradesh,Y.S.R.,www.sahithyadegreecollege.org,2012,Rural,Affiliated College,Private Un-Aided,"Yogi Vemana University, Kadapa",State Public University
C-65265,APOLLO COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh,Chittoor,https://www.aimsrchittoor.edu.in/physiotherapy,2018,Rural,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-65264,AMRUTHA COLLEGE OF NURSING VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,www.amruthainstitutions.in,2018,Urban,Affiliated College,State Government,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-24122,D.L.R.Degree College,Andhra Pradesh,Kakinada,www.dlrcollege.org,1993,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-30350,"Sri Chaitanya College of Nursing, Tirupati",Andhra Pradesh,Tirupati,www.swathinursing.com,2005,Urban,Affiliated College,Private Un-Aided,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-71889,BHASKAR INSTITUTE OF TECHNOLOGY AND SCIENCE,Andhra Pradesh,Annamayya,www.bitsrayachoty.com,-,Urban,Affiliated College,Private Un-Aided,"Jawaharlal Nehru Technological University, Anantapur",State Public University
C-24927,SRI VENKATESWARA COLLEGE OF EDUCATION,Andhra Pradesh,Srikakulam,www.svceducation.in,2007,Rural,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-23835,D.N.R. (A) COLLEGE,Andhra Pradesh,West Godavari,www.dnrcollege.org,1945,Urban,Affiliated College,Private Aided (Government Aided),"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-71895,"POLYTECHNIC OF AGRICULTURE, MARUTERU",Andhra Pradesh,West Godavari,-,-,Rural,Constituent / University College,State Government,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-71906,"POLYTECHNIC OF AGRICULTURAL ENGINEERING, RARS, ANAKAPALLE",Andhra Pradesh,Anakapalli,angrau.ac.in,-,Urban,Constituent / University College,University,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-71873,AGRICULTURAL POLYTECHNIC,Andhra Pradesh,Sri Potti Sriramulu Nellore,-,-,Rural,Constituent / University College,University,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-71871,AGRICULTURE POLYTECHNIC RAMPACHODAVARAM,Andhra Pradesh,Alluri Sitharama Raju,www.angrau.ac.in,-,Rural,Constituent / University College,State Government,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-71907,"POLYTECHNIC OF AGRICULTURE, GARIKAPADU",Andhra Pradesh,NTR,agp.garikapadu@angrau.ac.in,-,Rural,Constituent / University College,University,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-24474,D.N.R. GOVT. DEGREE COLLEGE FOR WOMEN,Andhra Pradesh,West Godavari,www.sridnrgdcw.ac.in,1982,Rural,Affiliated College,State Government,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-71872,"POLYTECHNIC OF AGRICULTURE,RAMAGIRI",Andhra Pradesh,Sri Sathya Sai,www.angrau.ac.in,-,Rural,Constituent / University College,University,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-24928,RAMLEELA DEGREE COLLEGE,Andhra Pradesh,Srikakulam,www.rldc.com,2003,Urban,Affiliated College,Private Un-Aided,"Dr.B.R.Ambedkar University, Etcherla",State Public University
C-24143,SreeRama Institute of Management,Andhra Pradesh,West Godavari,www.asrgroup@gmail.com,-,Rural,Affiliated College,Private Un-Aided,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
